index,loss,threshold,anomaly,RHR
2024-07-27 20:00:00,0.2573244730584475,0.23008806890721673,True,57.6625
2024-07-27 23:00:00,0.29882753280521207,0.23008806890721673,True,57.685
2024-07-28 00:00:00,0.2913211242785178,0.23008806890721673,True,57.675625
2024-07-28 02:00:00,0.26099899013752026,0.23008806890721673,True,57.70083333333333
2024-07-29 06:00:00,0.23072697792144048,0.23008806890721673,True,58.06666666666666
2024-07-31 07:00:00,0.2309898819664526,0.23008806890721673,True,57.39795454545455
2024-07-31 08:00:00,0.2961314530830541,0.23008806890721673,True,57.545
2024-07-31 10:00:00,0.3545898558765108,0.23008806890721673,True,57.75450000000001
2024-07-31 21:00:00,0.40129077845523586,0.23008806890721673,True,58.3615
2024-07-31 22:00:00,0.4496049536627436,0.23008806890721673,True,59.1175
2024-08-01 01:00:00,0.5134522813756627,0.23008806890721673,True,59.455
2024-08-01 05:00:00,0.5596258456023095,0.23008806890721673,True,59.5
2024-08-01 06:00:00,0.5178799026820726,0.23008806890721673,True,59.5125
2024-08-01 07:00:00,0.4475000790981059,0.23008806890721673,True,59.48555555555556
2024-08-01 08:00:00,0.3330542984622104,0.23008806890721673,True,59.15020833333333
2024-08-01 23:00:00,0.2676032206282801,0.23008806890721673,True,59.208333333333336
2024-08-03 03:00:00,0.2830115569600884,0.23008806890721673,True,60.62113636363636
2024-08-03 04:00:00,0.31690061715645035,0.23008806890721673,True,60.90538461538461
2024-08-03 05:00:00,0.3330469391504428,0.23008806890721673,True,60.85975
2024-08-03 21:00:00,0.3129697963931181,0.23008806890721673,True,60.725
2024-08-04 00:00:00,0.25644834326430754,0.23008806890721673,True,60.72625
2024-08-05 06:00:00,0.24012148205378525,0.23008806890721673,True,62.065178571428575
2024-08-06 01:00:00,0.26892433556478473,0.23008806890721673,True,64.11375
2024-08-06 02:00:00,0.2964377326904102,0.23008806890721673,True,64.42458333333333
2024-08-06 03:00:00,0.35602327925736793,0.23008806890721673,True,64.56083333333333
2024-08-06 05:00:00,0.4559255550654177,0.23008806890721673,True,64.50083333333333
2024-08-06 07:00:00,0.588674816178216,0.23008806890721673,True,64.42818181818183
2024-08-06 08:00:00,0.7535387917954184,0.23008806890721673,True,64.9375
2024-08-07 00:00:00,0.9399883237116112,0.23008806890721673,True,65.4325
2024-08-07 01:00:00,1.088680607707055,0.23008806890721673,True,65.68875
2024-08-07 02:00:00,1.2180839515858615,0.23008806890721673,True,66.32557692307692
2024-08-07 04:00:00,1.387628449683526,0.23008806890721673,True,66.76694444444445
2024-08-07 10:00:00,1.5675077832967987,0.23008806890721673,True,67.19090909090909
2024-08-07 23:00:00,1.7744307383279945,0.23008806890721673,True,67.68666666666667
2024-08-08 04:00:00,2.0383662188740006,0.23008806890721673,True,67.68350000000001
2024-08-08 05:00:00,2.3316304945156645,0.23008806890721673,True,67.3525
2024-08-08 07:00:00,2.560535908201532,0.23008806890721673,True,67.18875
2024-08-09 02:00:00,2.7313337030556077,0.23008806890721673,True,67.015
2024-08-09 03:00:00,2.8661250933567857,0.23008806890721673,True,66.47608695652174
2024-08-09 04:00:00,2.8979320882964426,0.23008806890721673,True,66.39916666666666
2024-08-09 05:00:00,2.8757870006230983,0.23008806890721673,True,66.419
2024-08-09 06:00:00,2.812183596499317,0.23008806890721673,True,66.48386363636364
2024-08-09 17:00:00,2.704770221370435,0.23008806890721673,True,66.49642857142858
2024-08-09 18:00:00,2.5968560450166236,0.23008806890721673,True,66.61642857142857
2024-08-10 03:00:00,2.5271006595591774,0.23008806890721673,True,66.52125
2024-08-10 05:00:00,2.4648858262020488,0.23008806890721673,True,66.67708333333333
2024-08-10 06:00:00,2.4287593627953865,0.23008806890721673,True,66.94500000000001
2024-08-10 07:00:00,2.464747906568042,0.23008806890721673,True,67.0775
2024-08-10 14:00:00,2.5205178947724125,0.23008806890721673,True,67.23083333333334
2024-08-10 16:00:00,2.587733231807441,0.23008806890721673,True,67.748125
2024-08-11 04:00:00,2.688478519591139,0.23008806890721673,True,68.2278125
2024-08-11 05:00:00,2.828377835494379,0.23008806890721673,True,68.4525
2024-08-11 09:00:00,2.9795646159369484,0.23008806890721673,True,68.5140625
2024-08-12 06:00:00,3.152001249682895,0.23008806890721673,True,68.60666666666667
2024-08-12 07:00:00,3.3217768876171228,0.23008806890721673,True,68.69
2024-08-12 08:00:00,3.477081509832021,0.23008806890721673,True,68.91227272727272
2024-08-12 12:00:00,3.641028814013611,0.23008806890721673,True,69.11875
2024-08-13 00:00:00,3.8111131258831383,0.23008806890721673,True,69.24
2024-08-13 02:00:00,3.9439866673044848,0.23008806890721673,True,69.33333333333333
2024-08-13 05:00:00,4.0398985524477835,0.23008806890721673,True,69.282
2024-08-13 06:00:00,4.113282591473814,0.23008806890721673,True,69.18613636363636
2024-08-13 07:00:00,4.175840446013453,0.23008806890721673,True,69.0635
2024-08-13 08:00:00,4.221869752107331,0.23008806890721673,True,69.10833333333333
2024-08-13 18:00:00,4.263222355517067,0.23008806890721673,True,69.2375
2024-08-13 22:00:00,4.293114040915639,0.23008806890721673,True,69.52166666666668
2024-08-13 23:00:00,4.324455973605981,0.23008806890721673,True,69.8971875
2024-08-14 01:00:00,4.373107428098482,0.23008806890721673,True,69.990625
2024-08-14 04:00:00,4.422815216417572,0.23008806890721673,True,69.9225
2024-08-14 05:00:00,4.474771805537837,0.23008806890721673,True,69.796
2024-08-14 06:00:00,4.5287865488343915,0.23008806890721673,True,69.25125
2024-08-14 07:00:00,4.558565334306117,0.23008806890721673,True,68.7225
